run_id,archetype,weather_scenario,fabric,peak_demand_kW,daily_energy_kWh,mean_cop,max_indoor_temp,min_indoor_temp,hdd_prediction_kW,underestimation_pct
1,B1,W1,F1,5.851474070897122,30.474289125010266,3.9127604166666665,19.091443614245186,13.342114767604665,5.538,5.36
2,B1,W1,F2,5.610316933123565,8.755522045386803,3.9127604166666665,22.144331889321297,14.528712349681655,5.538,1.29
3,B1,W2,F1,5.840236686390533,47.93471998124346,3.387140625,17.793404886475386,13.532615864281167,5.806,0.59
4,B1,W2,F2,5.694593464660072,13.164447873811483,3.387140625,20.481987511242956,14.524325301196056,5.806,-1.95
5,B1,W3,F1,6.397511489514979,62.73631505311158,2.9164156250000004,17.4386797216008,12.591384452261234,5.909,7.63
6,B1,W3,F2,5.594877656209787,18.272708861921352,2.9164156250000004,20.482313722467868,14.54482751413271,5.909,-5.62
7,B2,W1,F1,5.838107743045795,35.24959623799819,3.9127604166666665,21.477625977105063,13.343141176604188,5.538,5.14
8,B2,W1,F2,5.835269151919478,10.967943344129615,3.9127604166666665,24.593233433681828,14.519963950549867,5.538,5.09
9,B2,W2,F1,5.840236686390533,52.212811780577816,3.387140625,19.51198485213855,13.518468137096443,5.806,0.59
10,B2,W2,F2,5.840236686390533,14.67992695909567,3.387140625,21.629871879687016,14.524803030279715,5.806,0.59
11,B2,W3,F1,6.393122175832825,67.59808047934948,2.9164156250000004,19.15824573821578,12.588380195273324,5.909,7.57
12,B2,W3,F2,6.393303777375249,19.687283576169897,2.9164156250000004,21.516329953867633,14.538002938714985,5.909,7.57
13,B3,W1,F1,5.835269151919478,28.297203748517084,3.9127604166666665,17.683007860839204,13.337561299396045,5.538,5.09
14,B3,W1,F2,4.444485103111174,6.716237862931946,3.9127604166666665,21.33838473613274,14.5203256665973,5.538,-24.61
15,B3,W2,F1,5.840236686390533,45.43163706734459,3.387140625,16.72169964889898,13.52362650512565,5.806,0.59
16,B3,W2,F2,4.138070670195665,12.065311544758089,3.387140625,19.472282952938297,14.523490380736343,5.806,-40.3
17,B3,W3,F1,6.393848582002519,60.39911947951401,2.9164156250000004,16.48498159671453,12.591859135938167,5.909,7.58
18,B3,W3,F2,4.721422879535673,17.02390236030295,2.9164156250000004,19.33143365694863,14.547696852537076,5.909,-25.16
19,B4,W1,F1,5.832515813251904,29.470067232583318,3.9127604166666665,19.3932374258496,13.339094431792512,5.538,5.05
20,B4,W1,F2,5.594582740359143,8.15626077424596,3.9127604166666665,22.396795978086484,14.520147530738111,5.538,1.01
21,B4,W2,F1,5.841453265722084,48.963471842621765,3.387140625,16.95482692623411,13.521010297216167,5.806,0.61
22,B4,W2,F2,5.488189030125101,13.138287351808874,3.387140625,20.93294065821758,14.523039251503501,5.806,-5.78
23,B4,W3,F1,6.393485378917672,62.67987524395541,2.9164156250000004,16.514578296664066,12.590198900946568,5.909,7.57
24,B4,W3,F2,6.371303668492938,17.58832366809335,2.9164156250000004,20.408888350229905,14.537645260903405,5.909,7.25
